DWH_REFERENZPREISE_DE;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
01.01.2023;-5.17;-1.07;-1.47;-5.08;-4.49;-5.4;-5.02;-1.3;-1.44;-1.09;-1.07;-1.07;-0.79;-0.27;0.85;23.53;36.54;46.03;55.57;54.95;49.23;44.99;45.96;35
02.01.2023;57.91;51.67;52.93;44.09;50.08;69.72;105.08;140.64;145.98;147.05;145.61;143.35;144.38;143.76;148.2;155.34;162.89;170;174.74;164.46;153;141.67;134.91;124.22
03.01.2023;130.01;120;118.76;115;113.63;116.27;138.92;159.92;169.17;171.18;168.57;169.49;164.5;160.91;163.06;167.73;166.61;170.72;168.93;160.99;149.62;130.99;114.27;93.66
04.01.2023;80.89;70.67;40;8.68;0.85;11.02;61.02;79.2;84.2;83.32;70.07;79.74;80.89;79.72;80.22;79.74;80.82;86.16;72.28;66.61;43.2;31.25;34.96;9.09
05.01.2023;0.05;0.07;0.07;0.12;2.23;10.07;61.04;87.19;95.84;125.55;131.92;143.07;140.91;142.58;151.03;159.48;172.73;194.7;194.67;177.98;163.99;152;144.64;127
06.01.2023;107.21;101.1;96.73;82.34;81.93;84.03;97.25;106.51;120.7;116.86;112.85;113.37;115;109.78;119.71;125.83;139.57;155.93;163.5;146.74;139.38;131.8;129.94;121.3
07.01.2023;97.15;98.43;96.05;87.97;82.99;83.59;90.76;103.21;111.86;112;100;88.32;87.9;94.05;88.98;85.56;94.1;96.81;99.52;94.58;87.86;61.47;50;38.25
08.01.2023;10.93;9.07;9.1;4.16;5.58;9.92;9.02;16.47;49.42;82.8;93.7;103.87;101.69;99;104.29;103.64;109.11;118.04;122.61;109.11;103.93;98.43;99.37;81.34
09.01.2023;75.13;64.38;60.28;39.41;47.25;69.07;107.13;160;180;177.14;159.07;160.57;140.56;137.67;143.57;151.02;161.96;176.07;182.18;170.79;160.51;138.93;132;108.31
10.01.2023;106.02;96.71;95.14;90.36;95.61;108.6;138.13;154.73;165.33;160.42;154.73;146.45;141.22;141.68;145.41;145.92;140.5;146.34;140.45;124.44;106.15;86.53;81.3;42.96
11.01.2023;5;0.16;0.08;0.01;0.04;2.75;57.88;91.11;127.44;129.74;131.71;130.02;117.47;110.54;115.74;117.7;119.2;132.39;132.88;127.8;114.56;93.47;91.71;68.54
12.01.2023;19.88;5.55;4.69;0.1;2.03;24.94;85.72;111.55;106.83;97.83;84.74;87.38;75.88;81.84;88.2;95.18;99.08;112.01;119.49;100.79;99.35;84.77;70.43;39.57
13.01.2023;32.64;16.99;9;2.02;2.61;25.26;54.74;87.88;105.95;100.64;94.85;84.93;76.53;70.24;73.55;79.85;85.31;96.9;96.97;95.91;84.94;76.89;76.51;68.3
14.01.2023;25.68;34.62;44.7;41.23;40.7;40.68;45.1;53.14;52.34;54.16;50.47;55.01;48.91;25.25;13.42;9.05;9.04;11.04;13.69;6.84;9.03;9.07;5.9;5.19
15.01.2023;3.94;1.71;4.1;2.65;2.87;4.01;1.58;1.74;9.08;10.31;9.01;8.03;6.76;0.42;0.29;0.32;0.46;1.25;26.95;25.27;12.17;19.69;32.14;37.47
16.01.2023;60.01;60.01;62.72;56.1;63.3;87;154.63;175.11;185.99;170;150.2;150.89;147.04;140.87;141.24;145.69;150.81;166.79;173.72;150.5;136.97;127.74;123.24;109.4
17.01.2023;98.24;94.61;91.91;89.51;91.77;100;116.96;140.8;151.96;136.1;126.17;122.75;116.07;129.56;146.05;163.85;180.05;188.83;176.9;175.56;154.02;146.26;139.94;127.73
18.01.2023;122.85;124.68;124.64;122.87;119.91;126.6;152.72;171.69;188.67;183.11;161.25;152.45;140.87;141.24;142.33;152.69;153.81;164.64;158.96;133.55;137.48;131.47;128.99;112.68
19.01.2023;111.53;106.98;104.97;101.72;99.14;110.95;118.22;149.62;159.93;155.88;154.81;138.63;150.07;154.87;160.49;179.1;186.29;198.73;197.57;186.29;169.93;159.77;162.14;139.5
20.01.2023;146.89;144.5;142.44;142.8;144.98;150.5;176.01;208.07;235.06;221.7;209.77;201.52;189.26;181.63;182.36;192;200;208.22;208.4;197;175.7;166.37;163.1;147.55
21.01.2023;144.13;140.06;140.19;133.74;131.24;132.06;130.47;140.25;152.48;171.66;170.01;156.94;147.91;137.02;136.58;135.9;144.22;173.92;178.89;143.52;138.53;136.04;131.88;117.76
22.01.2023;127.6;119.01;116.77;118.35;122.12;117.79;127.6;127.6;137.51;145.82;151.28;161.75;161.55;150;154.9;157.49;171.03;191.99;202.07;199.19;179.01;170.77;162.86;153.56
23.01.2023;148.96;149;148.4;147.59;149.88;150.32;189.96;226.54;257.92;270.22;249.94;230.23;220.95;219.18;219.69;218.99;224.58;248.9;248.07;223.19;203.53;184.01;172.09;163.48
24.01.2023;164.85;160.07;154.79;149.05;153.65;163.34;183.61;210.08;251.1;256.43;238.66;229.98;217.92;206.05;215.28;217.98;224.58;250;250;231.15;214.02;187.37;172.43;162.24
25.01.2023;149.17;150.83;150.71;147.57;146.7;150.85;170.6;200.09;225.04;225;212.42;200.98;193.2;185.2;191.7;197.3;199.19;206.35;208.62;193.21;174.29;165.95;163.61;153.23
26.01.2023;150;140.33;137.13;134.63;136.01;143.85;165.68;186.98;198.95;202.91;197.11;194.23;187.19;184.72;181.28;175.62;168.86;186.2;180.73;170.55;158.99;154.44;149.75;137.91
27.01.2023;135;132.23;130.32;125.11;128.31;134.12;151.01;176.1;195;199.19;195;190;183.06;180;181.5;185;188;198.05;200.7;193.7;181.5;166.25;155.12;146
28.01.2023;139.9;135.06;133.38;129.59;125.28;122.83;128.85;136.32;145.43;160.16;161.57;157.3;141.56;135.32;138.16;147.14;154.27;164.93;174.06;163.56;149.96;146.13;142.23;139.78
29.01.2023;154.85;129.66;126.23;123.63;123.87;123.13;127.74;133.26;148.07;155.77;124.76;121.06;115.31;114.97;121.03;125.5;130.09;156.14;153.36;128.65;99.84;85;79.83;64.36
30.01.2023;45;5.9;5.07;2.03;9.03;37.47;88.1;102.18;115.5;100.8;96.81;88.23;86.1;83.38;88.36;86.12;89.69;98.62;96.29;100.7;89.95;86.85;88.15;90.8
31.01.2023;94.01;98.15;98.15;100.91;105.29;109.53;144.34;171.4;182.98;169.94;167.11;146.33;138.23;123.71;106.62;108.1;101.73;103.18;108.96;100.28;94.92;86.19;86.1;69.56
01.02.2023;79.94;67.55;65.69;66.82;57.59;74.96;95.98;112.75;120.74;111.29;105.03;101.45;99.34;98.53;95.97;98.56;102.69;109.12;111.58;100.88;97.65;94.75;86.42;78.59
02.02.2023;74.3;67.77;71.35;76.75;88.55;93.11;116.21;139.22;169.87;178.2;170.09;167.21;156.86;152.74;161.44;163.39;167.28;178.17;183.12;172.18;142.09;143.54;130.15;103.93
03.02.2023;108.3;100.27;93.82;87.83;84.03;89.02;100.27;107.73;110.39;110.01;97.73;102.81;102;99.19;97.91;102;107.72;112.4;113.52;108.07;103.7;102.95;113.19;107.8
04.02.2023;99.36;106.25;113.15;121.77;125.38;127.44;137.34;156.31;164.19;169.83;164.11;156.39;148.84;133.37;134.09;141.61;155.36;170.29;184.16;179.96;167.89;158.13;152.38;136.67
05.02.2023;135.51;136.97;129.03;130.68;116.2;113.27;114.21;115.6;120.48;117.68;117.3;122.09;116.09;107.01;109.75;116.32;125.16;147.57;171.44;170.92;165.9;153.67;155.77;144.18
06.02.2023;145;143.73;145.41;142.09;140.1;148.93;175.67;200.65;213.39;200.65;185.08;179.84;168.72;161.16;163.9;170.67;181.8;198.94;213.5;205.38;186.21;166.48;159.82;154
07.02.2023;145.78;142.21;140.42;139.44;141.6;145.87;170.54;198.04;214.16;191.85;172.52;141.83;140.33;134.86;148.34;171.86;189.98;222.26;245.6;229;199.03;188.18;173.36;163.08
08.02.2023;160.05;155.16;150;147.97;145.97;149.18;175.69;196.64;216.19;177.75;128;126.33;124.95;124.96;124.95;134.49;156.86;183.99;192.45;153;145.45;133.81;127.73;118.94
09.02.2023;109.56;118.36;115.12;115.46;120.47;132.57;155.24;174.46;173.02;111.36;114.01;111.77;111.18;110.19;121.46;157.91;165.04;173.25;166.33;134.89;115.77;135.77;119.93;117.95
10.02.2023;122.69;123.09;116.32;116.7;118.51;125.47;153.99;185.91;196.23;158.72;140.35;131.68;118.84;117.94;110.12;127.95;123.76;158.93;129.55;108.29;108.26;94.66;89.19;45
11.02.2023;89.89;85.38;85.03;81.87;82.31;80.88;82.95;86.59;93.13;93.95;93.01;89.93;93.23;90.92;93.89;101.13;118.36;153.94;152.79;140.73;140.42;138.28;143.76;138.06
12.02.2023;129.72;125.49;131.79;127.57;118.46;118.89;108.02;116.17;149.4;144.27;145.56;140.07;129.89;120;120;124.63;135.16;158.54;167.51;169.49;160;140.89;151.91;137.98
13.02.2023;137.5;132.68;132.64;129.04;130.84;137.36;163.19;196.08;215.87;196.2;173.35;154.42;140;136.87;140;157.45;166.06;188.06;221.8;206.6;187.86;168.95;160.97;150.12
14.02.2023;135.62;132.32;132.16;132.12;132.32;141.93;166.22;199.99;206.98;180.6;138.26;139.16;130.36;125.41;126.93;132.32;152.7;180.81;199.99;192.97;175.81;160.09;151.03;141.73
15.02.2023;134.81;130.95;130;130.01;126.66;136.53;161.2;185;188.76;171.22;152.52;132.16;120.79;121.45;121.38;128.71;144.99;158.8;173.52;165.25;143.59;133.97;133.14;119.1
16.02.2023;112.86;117.48;114.52;113.35;115;119.96;145.6;166.5;175.34;166.44;150.28;132.94;118.18;118.63;127.93;134.95;140.96;166;166.92;160.59;143.57;137.96;127.52;108.07
17.02.2023;106.05;98.61;92.71;86.12;80.63;90.9;105.12;122.65;129.9;114.52;101.56;91.96;90.8;67.63;36.68;33.71;69.63;79.92;90.53;85.05;59.96;46.9;43.82;22.22
18.02.2023;28.14;36.44;35.82;44.41;62.98;70.1;82.26;93.37;109.95;114.92;107.64;102.8;94.47;83.29;86.37;96.6;109.98;128.8;147.08;149.95;135.49;120.64;116.99;113.66
19.02.2023;109.04;104.12;99.53;93;92.55;97.78;98.5;107.77;113.86;118.32;116.17;113.87;108.52;101.18;98.54;107.7;120.72;141.11;158.7;158.38;138.31;127.1;117.68;94.85
20.02.2023;78.87;51.06;48.86;34;29.13;38.24;72.3;78.18;75.75;49.92;41.96;23.93;23.81;22.01;41.52;52.34;57.15;94.99;112.54;109.04;92.57;87.73;89.47;68.64
21.02.2023;50.5;46.01;47.76;53.28;69.15;94.87;127.67;148.87;153.96;130.7;129.24;116.51;112.53;114.14;119.3;130.56;148.99;164.85;178.13;177.1;170;158.8;153.2;142.58
22.02.2023;139.9;128.53;125.3;128.53;129.53;139.19;157.49;173.13;176.34;164.55;152.53;136.99;129.56;129.18;136.04;150.91;156.96;165.01;175;172.73;162.06;154.02;149.6;134.47
23.02.2023;134.68;131.4;129;124.78;125.17;129.93;153.98;170;178.08;169.6;154.59;149.83;142.22;136.7;135.3;135.39;139.54;152.36;165.22;165;155.91;151.14;145.61;131.46
24.02.2023;133.68;118.18;117.55;114.76;117.55;117.23;137.12;155.05;155;150.26;131.43;109.02;112.76;107.88;101.49;109.08;110.49;119.69;136.41;116.96;91.35;104.61;93.13;78.58
25.02.2023;90.55;83.14;78.93;75.23;82.03;77.97;76.77;84.47;89.89;87.02;74.4;65.17;59.43;44.9;62.68;81.85;96.54;123.4;136.48;130.85;116.64;102.27;114.93;107.43
26.02.2023;106.39;102.94;102.77;106.26;104.1;105.54;107.04;109.55;109.02;105.54;97.34;92.94;85;55;55.28;85.04;98.92;129.9;153.7;156.91;153.64;141.64;138.29;132.98
27.02.2023;122.83;132.91;132.9;125.03;120.07;139.83;164.23;186.66;186.95;166.57;152.91;135.87;138.59;135.52;131.51;132.2;153.45;170.69;190.01;198.15;174.49;160.3;153.46;149.46
28.02.2023;134;124.82;123.83;124.59;126.25;141.41;162.47;177.99;186.04;160.31;130.38;124.2;116.71;119.19;123.41;133.2;154.42;173.13;193.87;193.78;174.89;158.27;153.78;142.14
01.03.2023;133.08;125.46;124.96;127.66;130.58;141.35;163.45;186.03;186.03;152.9;126.69;118.72;115.79;114.12;116.09;122.81;135.46;162.74;183.69;182.48;162.74;144.85;142.05;131.51
02.03.2023;125.82;128.57;130.03;131.47;130.01;135.58;164.99;181.11;177.62;141.44;124.36;116.79;115.39;113.64;117.69;128.62;152.64;166.38;184.91;184.13;163.43;159.31;149.53;139.9
03.03.2023;140.3;130.18;130.59;128.43;127.78;135;162.19;187.03;195.39;166.48;131.12;123.01;114.69;112.1;110.89;114.69;129.31;155.98;165;152.94;133.31;122.2;112.09;101.63
04.03.2023;108.27;95.86;92.18;97.96;97.69;96.98;94.1;98.82;100.69;96.89;97.04;94.71;89.37;91.26;95.35;101.77;106.9;140;151.66;145;138.68;117.71;121.02;109.41
05.03.2023;107.53;106.25;105.55;106.84;104.99;105.81;105.94;108.39;107.72;107.73;105.18;107.55;110.25;107.73;110.22;115.14;129.37;145.14;166.67;172.37;160.23;152.49;143.66;130.13
06.03.2023;136.1;125.09;123.31;123.12;123.75;137.44;159.8;185;217.09;188.35;170.26;160.84;149.92;144.95;144.3;145.78;152;162.01;184.86;174.61;147.95;130.39;120.65;108.58
07.03.2023;98.06;94.26;85;78.96;78.52;85.57;98.71;99.57;105.59;91.92;93.86;94.26;87.57;93.86;95.07;97.6;109.22;142.97;164.08;143.91;152.14;136.43;122.21;115.49
08.03.2023;114.3;112.1;112.02;111;111;118.23;140.68;158.53;173.1;163;152.99;144.17;137.17;135.93;137.44;141.09;144.47;153.01;166.89;170.02;153.77;134.64;128.82;119
09.03.2023;113.66;111.39;111.02;109.38;111.22;113.02;137.39;150;159.06;150.93;142.36;131.81;122;116.45;116.19;116.72;118.36;135.85;147.22;145.04;135.1;125.09;123.82;109.7
10.03.2023;102.89;100.68;99.06;98.84;99.09;105;119.81;136.91;140.91;136.61;131.89;125.1;116.42;112.84;114.91;112.62;110.1;129.34;135.48;133.92;115.41;108.96;100.35;87.59
11.03.2023;70.22;71.11;73.08;82.42;87.87;96.18;104.24;110.09;114.01;106.37;93.81;81.95;78.66;60;60.38;82.63;101.24;130.02;145;136.63;131.58;119.96;120.56;108.51
12.03.2023;121.01;101.18;101.18;90.43;91.81;92.08;90.81;89.05;90.27;93.98;92;87.79;80.4;68.96;70;74.9;85.05;100.91;119.85;141.04;129.97;104.69;94.87;80.55
13.03.2023;45.99;37.09;33.36;16.89;7.51;16.89;38.49;77.71;79.81;42.46;30.51;22.32;2.07;-0.02;-0.03;0.26;9.03;53.37;88.59;95;82.33;52.94;35.45;23.32
14.03.2023;9.57;4.46;4;1.84;3.5;9.03;42.6;90.42;94.84;83.37;73.78;60.94;53.26;61.07;65.45;59.82;78.83;122.85;144.86;152.21;140.93;129.72;122.84;105.32
15.03.2023;105.64;105.8;103.97;105.23;105.67;121.43;143.47;160;159.58;129.99;114.15;97;90.85;90.84;96.25;102.83;116.99;150.8;182.3;199.28;168.98;147.36;139.35;127.63
16.03.2023;117.39;107.61;103.8;100;98.07;103.86;130.32;142.35;138.03;117.12;103.2;91.51;85.4;78.49;80.48;84.89;95.58;119.22;131.85;129.97;110;98.14;86.07;80.44
17.03.2023;48.45;49.97;50.06;59.93;62.79;81.59;105.07;112.17;104.56;90.29;84.04;79.95;75.76;74.05;88.05;99.03;109.54;126.79;134.36;134.23;126.35;109.97;107.09;102.25
18.03.2023;106.35;98.25;96.84;95;96.18;99.8;103.5;105.43;100.74;102.65;97;91.14;84.06;80.42;87.52;92.08;104.43;130.74;156.95;169.54;144.15;132.92;129.95;118.46
19.03.2023;110.03;106;99.6;99.18;98.74;103.36;100;102.45;101.44;102.26;100.41;99.18;97.39;94.04;95.01;98.67;106.09;133.17;145;152.91;144.71;135.27;132.9;130
20.03.2023;124;114.94;113.06;110.18;110.25;116.4;135.77;148.43;148.51;137.56;122.75;115.79;104.59;99.96;101.73;104.74;113.83;132.84;150.96;165.47;152.36;135.49;127.5;117.04
21.03.2023;120.79;112.28;111.56;108.65;110;118.21;129.81;145.49;143.45;128.53;115.01;106.72;101.98;99.56;98.67;98.32;101.21;112.99;132.08;143.29;125.25;105.13;99.69;92.59
